,bands,spotify_id,musicbrainz_id,gracenote_era,member_count,spotify_popularity,spotify_genre,spotify_track_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,lastfm_play_count,lastfm_listener_count,played_warped
29,JAUZ,5ttgIeUVka6FLyi00Uu5h8,2b996e5c-7941-4619-9840-9021c6756954,0,1,62,bass trap,54.0,0.051967,0.6699,233040.0,0.9153,0.057372023,6.0,0.14983,-3.5966,0.0,0.0943,130.836,4.0,0.30256,0,0,0
30,The Arcs,3mVWMgLc7bcyCBtL2ymZwK,a24d745c-6002-445c-bb4c-db1c9b3fdce6,2010,1,53,funk,45.0,0.138878,0.5155,218004.0,0.6263,0.08420433,7.0,0.20921,-8.8207,0.0,0.06633,128.7362,3.0,0.5764,847263,78708,0
31,Grandtheft,4R0EwsTKt1LIFcdezmuezM,0a6613de-eee4-4a66-bd41-3253c4e2fbea,2010,1,56,bass trap,41.0,0.061289,0.6558,202540.0,0.7819,0.52295113,4.0,0.12836,-4.8473,0.0,0.13087,137.8714,4.0,0.35451,88833,22143,0
32,BANNERS,4qWnlmXWuGv2TtuxtIWlJX,e9cda0a2-285c-4a15-9697-c295c216a94f,2000,1,61,indie anthem-folk,47.0,0.1327869,0.5317,226197.0,0.6535,1.5478e-05,6.0,0.13296,-5.5449,0.0,0.03412,113.6797,3.0,0.30797,0,0,0
33,Nothing,39VNwvlQTqE9SvgPjjnMpc,f4cd6526-6c4b-495e-92e2-747200eae056,2010,1,56,alternative metal,47.0,0.021658596,0.4227,210852.0,0.8752,0.002714394,5.0,0.28668,-7.1156,0.0,0.11991,118.3998,3.0,0.3912,1803977,64217,0
34,Kurt Vile & The Violators,72SKeYrfxSaIpqrAGLyNcn,54301ac1-fefe-4928-917b-0325d2e1902b,2000,1,0,0,35.0,0.00964,0.471,330782.0,0.765,0.0313,2.0,0.0936,-6.044,1.0,0.0298,112.657,4.0,0.556,873,234,0
35,Lewis Del Mar,2oqwwcM17wrP9hBD25zKSR,5f2e8889-a3e1-43d9-89e5-20b470ee74eb,2010,2,60,indie pop,50.0,0.26134,0.6332,249314.0,0.674,0.004708273,5.0,0.18576,-7.0427,0.0,0.08041,109.3361,4.0,0.4415,0,0,0
36,Hælos,132sZpCaM8ie6byAEcOcRs,4a26862a-b117-4d67-8386-7f69504659bc,0,1,45,chamber psych,39.0,0.161288,0.5087,269629.0,0.63318,0.247936562,5.0,0.20149,-9.217,0.0,0.04153,107.4627,3.0,0.22647,0,0,0
37,Frankie,0dvKgSdNB2U1gfp6ZcekYi,cb857fc2-3a70-42c8-ac45-9da34b96aef2,0,1,63,contemporary country,56.0,0.131713,0.5898,218908.0,0.7573,5.308e-06,4.0,0.2129,-6.0145,1.0,0.0351,115.9742,4.0,0.6265,123063,29910,0
38,JAHKOY,1c5SlzViAqsaB0kXygfSjh,8b694b3a-8ccc-42bf-a468-1f8058ba98f1,2010,1,58,deep indie r&b,46.0,0.13745,0.5875,238790.0,0.6406,0.000604004,4.0,0.15957,-7.1066,0.0,0.13307,102.9363,4.0,0.4292,0,0,0
